Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),65,626,626,0.3,0.3,2,2,2.567,0.750,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.250,0.250,0.000,0.750,0.000,0.000,0.000,0.000,0.250
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),15,1938,1938,0.7,0.7,1,1,1.124,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),74,1449,1449,0.5,0.5,1,1,11.058,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.250,0.000,0.000,0.000,0.000,0.500,0.250,0.250,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.500
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),172,1327,1327,0.4,0.4,1,1,2.145,0.182,0.363,0.273,0.000,0.091,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.909,0.091,0.000,0.000,0.000,0.000,0.455,0.364,0.182,0.000,0.000,0.545,0.364,0.000,0.091,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),165,1399,1399,0.4,0.4,1,1,2.280,0.300,0.400,0.000,0.000,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.000,0.000,0.100,0.700,0.200,0.000,0.000,0.700,0.200,0.000,0.000,0.000,0.100
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),172,897,897,0.3,0.3,1,1,1.970,0.200,0.700,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.000,0.000,0.600,0.300,0.100,0.000,0.000,0.700,0.100,0.100,0.100,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),112,1400,1400,0.3,0.3,1,1,3.982,0.000,0.428,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.571,0.429,0.000,0.000,0.000,0.571,0.143,0.000,0.000,0.143,0.143
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),187,1127,1127,0.3,0.3,1,1,6.093,0.167,0.500,0.250,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.917,0.083,0.000,0.000,0.000,0.000,0.583,0.417,0.000,0.000,0.000,0.500,0.250,0.000,0.083,0.000,0.167
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),115,988,988,0.3,0.3,1,1,2.168,0.250,0.250,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.250,0.250,0.000,0.000,0.625,0.250,0.000,0.000,0.000,0.125
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),107,1142,1142,0.2,0.2,1,1,7.830,0.143,0.428,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.857,0.143,0.000,0.000,0.000,0.285,0.286,0.000,0.143,0.000,0.286
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),91,1902,1902,0.5,0.5,1,1,8.504,0.165,0.167,0.167,0.167,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.167,0.000,0.000,0.000,0.000,0.667,0.000,0.167,0.167,0.000,0.334,0.333,0.000,0.000,0.000,0.333
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),127,1614,1614,0.6,0.6,1,1,6.963,0.143,0.285,0.286,0.143,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.143,0.000,0.000,0.000,0.429,0.286,0.143,0.143,0.000,0.571,0.000,0.000,0.143,0.000,0.286
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),30,757,757,0.3,0.3,1,1,1.836,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),15,497,497,0.4,0.4,3,3,2.214,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),11,841,841,0.5,0.5,2,2,4.336,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),23: 10pm (10pm-11pm),11,611,611,0.2,0.2,1,1,4.109,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),1409,1508,1508,0.5,0.5,1,1,6.791,0.196,0.371,0.144,0.113,0.052,0.041,0.000,0.052,0.010,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.907,0.062,0.021,0.010,0.000,0.000,0.464,0.402,0.072,0.052,0.010,0.464,0.093,0.103,0.041,0.072,0.227
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),04: 3am (3am-4am),22,1724,1724,0.3,0.3,2,2,24.150,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.500
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),37,106,106,0.1,0.1,3,3,1.393,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),142,1956,1956,0.6,0.6,1,1,4.768,0.100,0.300,0.200,0.100,0.100,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,0.100,0.000,0.000,0.000,0.500,0.400,0.100,0.000,0.000,0.900,0.000,0.000,0.000,0.000,0.100
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),100,2244,2244,0.7,0.7,2,2,1.931,0.167,0.333,0.000,0.000,0.167,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.167,0.500,0.167,0.167,0.000,0.833,0.000,0.000,0.167,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),71,2760,2760,1.0,1.0,1,1,1.805,0.000,0.500,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.250,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),102,2595,2595,1.0,1.0,1,1,7.468,0.000,0.285,0.286,0.143,0.000,0.000,0.000,0.143,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.714,0.143,0.000,0.143,0.000,0.000,0.286,0.714,0.000,0.000,0.000,0.143,0.000,0.286,0.143,0.000,0.428
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),103,1934,1934,0.3,0.3,1,1,3.040,0.000,0.428,0.286,0.000,0.143,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.857,0.143,0.000,0.000,0.000,0.428,0.429,0.000,0.000,0.000,0.143
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),126,624,624,0.2,0.2,2,2,2.306,0.375,0.500,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.375,0.375,0.125,0.125,0.000,0.625,0.125,0.125,0.000,0.000,0.125
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),103,1277,1277,0.2,0.2,1,1,4.191,0.167,0.499,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.167,0.000,0.000,0.666,0.000,0.000,0.000,0.167,0.167
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),93,1166,1166,0.5,0.5,2,2,8.904,0.285,0.286,0.143,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.143,0.000,0.000,0.000,0.000,0.286,0.571,0.000,0.000,0.143,0.428,0.143,0.000,0.000,0.143,0.286
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),117,1612,1612,0.4,0.4,1,1,8.190,0.125,0.500,0.000,0.250,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.875,0.125,0.000,0.000,0.000,0.000,0.875,0.125,0.000,0.000,0.000,0.250,0.000,0.375,0.000,0.125,0.250
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),82,1272,1272,0.6,0.6,2,2,9.111,0.200,0.400,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.200,0.000,0.200,0.200,0.000,0.400
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),109,1290,1290,0.4,0.4,1,1,8.919,0.125,0.375,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.375,0.500,0.125,0.000,0.000,0.125,0.125,0.250,0.000,0.125,0.375
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),77,810,810,0.3,0.3,1,1,2.009,0.167,0.666,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.000,0.666,0.167,0.000,0.167,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),88,1114,1114,0.2,0.2,1,1,10.202,0.285,0.143,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.714,0.286,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.428,0.286
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),15,286,286,0.2,0.2,3,3,20.133,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),22,1687,1687,0.3,0.3,1,1,37.102,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),2076,1504,1504,0.4,0.4,1,1,4.140,0.262,0.277,0.215,0.077,0.054,0.023,0.023,0.015,0.038,0.008,0.000,0.000,0.000,0.000,0.000,0.008,0.892,0.062,0.038,0.000,0.008,0.000,0.485,0.423,0.085,0.008,0.000,0.601,0.154,0.092,0.015,0.046,0.092
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),60,508,508,0.1,0.1,2,2,1.440,0.750,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.750,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),140,1453,1453,0.2,0.2,1,1,2.968,0.222,0.445,0.111,0.111,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.667,0.111,0.000,0.000,0.000,0.222
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),70,2322,2322,0.9,0.9,1,1,1.568,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.250,0.000,0.000,0.000,0.250,0.750,0.000,0.000,0.000,0.750,0.250,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),08: 7am (7am-8am),15,4311,4311,1.3,1.3,1,1,1.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),09: 8am (8am-9am),11,2330,2330,0.3,0.3,0,0,3.561,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),113,1113,1113,0.3,0.3,1,1,2.304,0.143,0.428,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.714,0.286,0.000,0.000,0.000,0.714,0.143,0.000,0.000,0.143,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),105,1160,1160,0.3,0.3,1,1,2.069,0.375,0.250,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.625,0.125,0.250,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),300,1480,1480,0.4,0.4,1,1,4.091,0.222,0.222,0.334,0.111,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.111,0.000,0.000,0.000,0.000,0.444,0.500,0.000,0.056,0.000,0.555,0.167,0.111,0.000,0.056,0.111
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),210,2108,2108,0.7,0.7,1,1,2.394,0.083,0.500,0.000,0.000,0.083,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.000,0.167,0.000,0.000,0.000,0.583,0.250,0.167,0.000,0.000,0.583,0.250,0.000,0.000,0.167,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),168,1940,1940,0.6,0.6,1,1,1.709,0.363,0.182,0.091,0.091,0.000,0.000,0.000,0.091,0.091,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.182,0.091,0.000,0.000,0.000,0.455,0.455,0.091,0.000,0.000,0.818,0.091,0.091,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),160,2315,2315,0.8,0.8,1,1,4.071,0.200,0.100,0.400,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.800,0.100,0.000,0.000,0.100,0.000,0.600,0.300,0.100,0.000,0.000,0.500,0.100,0.200,0.000,0.100,0.100
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),185,1160,1160,0.4,0.4,1,1,2.046,0.200,0.300,0.300,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.100,0.000,0.000,0.000,0.000,0.400,0.500,0.100,0.000,0.000,0.700,0.100,0.100,0.100,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),219,1573,1573,0.5,0.5,1,1,9.375,0.154,0.307,0.231,0.000,0.154,0.077,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.846,0.077,0.077,0.000,0.000,0.000,0.462,0.462,0.077,0.000,0.000,0.461,0.231,0.000,0.000,0.000,0.308
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),138,779,779,0.2,0.2,1,1,5.437,0.333,0.445,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.556,0.111,0.111,0.111,0.000,0.111
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),100,1166,1166,0.2,0.2,1,1,12.825,0.428,0.286,0.000,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.429,0.429,0.143,0.000,0.000,0.428,0.143,0.143,0.000,0.143,0.143
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),67,670,670,0.3,0.3,2,2,2.013,0.600,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.400,0.400,0.200,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),15,455,455,0.2,0.2,2,2,8.615,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),00: All Day (12am-12am),1459,1270,1270,0.3,0.3,1,1,4.509,0.329,0.237,0.237,0.072,0.021,0.052,0.010,0.021,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.949,0.010,0.041,0.000,0.000,0.000,0.588,0.278,0.113,0.010,0.010,0.566,0.155,0.052,0.041,0.021,0.165
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),10,3357,3357,0.2,0.2,0,0,2.066,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),64,1242,1242,0.6,0.6,2,2,1.311,0.750,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.250,0.000,0.000,0.000,0.000,0.750,0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),07: 6am (6am-7am),19,1372,1372,0.2,0.2,1,1,13.884,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
